kitchenSlug,kitchenCode,kitchenName,kitchenStatus,kitchenDescription,contracts,itemId,itemType,sortOrder,code,articleNumber,name,price,widthMm,heightMm,depthMm,componentKey,iconKey,colorKey,isLocked,isActive,infoText,productImagePath,productInfoPdfPath,productInfoSummary,productInfoKeyFacts,productInfoExtractedText,productInfoUpdatedAt,createdAt,updatedAt
ab-105807,105 807,AB 105807 Kitchen,ACTIVE,Kitchen configuration based on pdfs/AB 105807.pdf,736272,cmqax637t000xsnt4ze11o651,COMPONENT,90,REF-AB105807-KGCN388140E,OL-KGCN388140E,Freestanding refrigerator 178 cm,579.00,,,,refrigerator,tall_refrigerator,black,false,true,"Fridge-freezer, 178 cm",/product-images/email/kgc15495s-fridge.jpg,/product-info/kgc-15495-s-product-info-eco21.pdf,"Freistehende Kuehl-Gefrierkombination KGC 15495 S fuer die Kuechenplanung. Die aktuelle Produktinformation nennt NoFrost, 180 cm Bauhoehe und Energieklasse E.",Energieklasse: E | Geraeusch: 41 dB | Hoehe: 180 cm | Nutzinhalt: 250 l | NoFrost: Kuehlen und Gefrieren | Jahresverbrauch: 219 kWh/Jahr. | Geraetemasse H x B x T (mm): 1800 x 545 x 590.,"Produktname: AMICA KGC 15495 S Kuehl-/Gefrierkombination, 180 cm.
Wichtige Punkte:
- Modell: KGC 15495 S.
- Freistehendes Kuehl-Gefriergeraet mit NoFrost und automatischer Abtauung.
- Geraetemasse H x B x T (mm): 1800 x 545 x 590.
- Energieklasse E, Jahresverbrauch 219 kWh, Geraeusch 41 dB(A), Klasse C.
- Kuehlen 180 l, Gefrieren 70 l, 4-Sterne-Gefrierteil.
- Ausstattung: FreshZone, VitControl Plus, LED-Licht, Flaschenregal, 3 Gefrierschubladen.
Auswahlhinweise:
- Vor der Bestellung Geraetemass, Tueranschlag und Belueftung im Kuechenplan pruefen.",Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time)
ab-105807,105 807,AB 105807 Kitchen,ACTIVE,Kitchen configuration based on pdfs/AB 105807.pdf,736272,cmqax637u000zsnt4cyh6z1xj,COMPONENT,100,SINK-AB105807-BOTTON-45,517467,Sink and Waste System,89.00,,,,sink-faucet,sink_faucet,black,true,true,Blanco Botton Pro 45/2 manual waste system,,,,"""""",,,Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time)
ab-105807,105 807,AB 105807 Kitchen,ACTIVE,Kitchen configuration based on pdfs/AB 105807.pdf,736272,cmqax637v0011snt4ef76lxxi,ACCESSORY,200,ACC-WASTE-001,Blanco Botton 517467,Waste separation system,89.00,,,,,waste_system,,false,true,Blanco Botton 517467,,,,"""""",,,Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time)
ab-105807,105 807,AB 105807 Kitchen,ACTIVE,Kitchen configuration based on pdfs/AB 105807.pdf,736272,cmqax637w0013snt4ybyowf7h,ACCESSORY,210,ACC-CUTLERY-ZB60SG,ZB60SG,Cutlery insert 60 cm,25.00,,,,,cutlery_insert,,false,true,Cutlery insert 60 cm,,,,"""""",,,Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time)
ab-105807,105 807,AB 105807 Kitchen,ACTIVE,Kitchen configuration based on pdfs/AB 105807.pdf,736272,cmqax637x0015snt41sfws4kn,ACCESSORY,220,ACC-LIGHT-003,KA220043_S3,Beleuchtungsset 3 LED-Spots,69.00,,,,,lighting_set,,false,true,,,/product-info/led-lighting-set-elabel.pdf,Energie-Label fuer das LED-Beleuchtungsset KA220043_S3. Das Label nennt Energieeffizienzklasse E und 3 kWh / 1000 h.,Product type: LED lighting set. | Model: KA220043_S3. | Energy efficiency class: E. | Energy consumption: 3 kWh / 1000 h. | Document: Energy label.,"Product name: LED lighting set KA220043_S3.
Wichtige Punkte:
- Product type: LED lighting set.
- Model: KA220043_S3.
- Energy efficiency class: E.
- Energy consumption: 3 kWh / 1000 h.
- Document: Energy label.
Auswahlhinweise:
- Show this label with the LED lighting set.",Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time)
ab-105807,105 807,AB 105807 Kitchen,ACTIVE,Kitchen configuration based on pdfs/AB 105807.pdf,736272,cmqax637y0017snt4z0u0fq06,SERVICE,300,SVC-MONTAGE-001,,"Lieferung, Vertragen, Montage und Anschluss",349.00,,,,,delivery_assembly,,false,true,,,,,"""""",,,Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time)
ab-105807,105 807,AB 105807 Kitchen,ACTIVE,Kitchen configuration based on pdfs/AB 105807.pdf,736272,cmqax637y0019snt4rq801jzr,SERVICE,310,SVC-PICKUP-001,,Abholung an Logistikstandort,0.00,,,,,pickup,,false,true,,,,,"""""",,,Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:24 GMT+0200 (Central European Summer Time)
fragmento-default,,Fragmento Default Kitchen,ACTIVE,Seeded default kitchen based on the legacy configurator.,736267,cmoh7lg5t0003sn1o2skwo1pz,COMPONENT,10,DISH-600-STD,,Spülmaschine,579.00,,,,,dishwasher,#001f7f,false,true,Amica by architecto,/product-images/email/a-egspv597210-dishwasher.jpg,/product-info/a-egspv597210-product-info-eco21.pdf,"Vollintegrierter 60-cm-Geschirrspueler fuer den Einbau hinter einer Moebelfront. Die aktuelle Produktinformation nennt 12 Massgedecke, Energieklasse D und 5 Programme.",Energieklasse: D | Energieverbrauch: 82 kWh / 100 Zyklen. | Wasserverbrauch: 11.0 l/Zyklus. | Geraeusch: 49 dB | Breite: 60 cm | Geraetemasse H x B x T (mm): 815 x 598 x 550. | Einbaumasse H x B x T (mm): 820 - 870 x 600 x 580. | Tiefe bei geoeffneter Tuer (mm): 1150. | Programme: 5 | Kapazitaet: 12 Massgedecke,"Produktname: Architecto / AMICA A-EGSPV597210 Geschirrspueler, 60 cm.
Wichtige Punkte:
- Produkttyp: vollintegrierter Einbau-Geschirrspueler.
- 12 Massgedecke, 5 Programme, 4 Temperaturen.
- Energieklasse D, 82 kWh / 100 Zyklen, 11.0 l / Zyklus.
- Energieverbrauch: 82 kWh / 100 Zyklen.
- Wasserverbrauch: 11.0 l/Zyklus.
- Geraeusch: 49 dB(A), Klasse C.
- Geraetemasse H x B x T (mm): 815 x 598 x 550.
- Einbaumasse H x B x T (mm): 820 - 870 x 600 x 580.
- Tiefe bei geoeffneter Tuer (mm): 1150.
- Ausstattung: Aquastop, Extra Dry, OpenDry, halbe Beladung, Startzeitvorwahl 3/6/9 h.
Auswahlhinweise:
- Vor der Bestellung Einbaumass, Frontintegration und Anschlussposition pruefen.",Fri Jun 12 2026 14:45:23 GMT+0200 (Central European Summer Time),Mon Apr 27 2026 15:04:29 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:23 GMT+0200 (Central European Summer Time)
fragmento-default,,Fragmento Default Kitchen,ACTIVE,Seeded default kitchen based on the legacy configurator.,736267,cmoh7lg5w0005sn1oyu7264rd,COMPONENT,20,REF-545-1800-700,,Kühlschrank,579.00,,,,,refrigerator,black,false,true,Amica by architecto,/product-images/email/kgc15495s-fridge.jpg,/product-info/kgc-15495-s-product-info-eco21.pdf,"Freistehende Kuehl-Gefrierkombination KGC 15495 S fuer die Kuechenplanung. Die aktuelle Produktinformation nennt NoFrost, 180 cm Bauhoehe und Energieklasse E.",Energieklasse: E | Geraeusch: 41 dB | Hoehe: 180 cm | Nutzinhalt: 250 l | NoFrost: Kuehlen und Gefrieren,"Produktname: AMICA KGC 15495 S Kuehl-/Gefrierkombination, 180 cm.
Wichtige Punkte:
- Freistehendes Kuehl-Gefriergeraet mit NoFrost und automatischer Abtauung.
- Energieklasse E, Jahresverbrauch 219 kWh, Geraeusch 41 dB(A), Klasse C.
- Kuehlen 180 l, Gefrieren 70 l, 4-Sterne-Gefrierteil.
- Ausstattung: FreshZone, VitControl Plus, LED-Licht, Flaschenregal, 3 Gefrierschubladen.
Auswahlhinweise:
- Vor der Bestellung Geraetemass, Tueranschlag und Belueftung im Kuechenplan pruefen.",Fri Jun 12 2026 14:45:23 GMT+0200 (Central European Summer Time),Mon Apr 27 2026 15:04:29 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:23 GMT+0200 (Central European Summer Time)
fragmento-default,,Fragmento Default Kitchen,ACTIVE,Seeded default kitchen based on the legacy configurator.,736267,cmoh7lg5x0007sn1ojw3jqzty,COMPONENT,30,CAB-BASE-030,,Unterschrank 30cm,175.00,,,,,base_cabinet_30,#ffbf00,false,true,,,,,"""""",,,Mon Apr 27 2026 15:04:29 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:23 GMT+0200 (Central European Summer Time)
fragmento-default,,Fragmento Default Kitchen,ACTIVE,Seeded default kitchen based on the legacy configurator.,736267,cmoh7lg5x0009sn1oilock18s,COMPONENT,40,CAB-WALL-L-060,,Oberschrank (links),115.00,,,,,wall_cabinet_l,#00ffbf,false,true,,,,,"""""",,,Mon Apr 27 2026 15:04:29 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:23 GMT+0200 (Central European Summer Time)
fragmento-default,,Fragmento Default Kitchen,ACTIVE,Seeded default kitchen based on the legacy configurator.,736267,cmoh7lg5y000bsn1or4nxdxo5,COMPONENT,50,CAB-WALL-R-060,,Oberschrank (rechts),115.00,,,,,wall_cabinet_r,#394c00,false,true,,,,,"""""",,,Mon Apr 27 2026 15:04:29 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:23 GMT+0200 (Central European Summer Time)
fragmento-default,,Fragmento Default Kitchen,ACTIVE,Seeded default kitchen based on the legacy configurator.,736267,cmoh7lg60000dsn1oeicr2kpf,COMPONENT,60,HOOD-600-FLAT,,Dunstabzugshaube,349.00,,,,,extractor_hood,#ff7f9f,false,true,Amica by architecto,/product-images/email/fh664621s-flat-hood.jpg,/product-info/fh-664-621-s-product-info.pdf,Flachschirmhaube FH 664 621 S fuer eine 60-cm-Kuechenloesung. Die aktuelle Produktinformation nennt Energieklasse A und bis zu 70 dB Betriebsgeraesch.,Energieklasse: A | Geraeusch: max. 70 dB | Breite: 60 cm | Luftleistung: 170-415 m3/h | Betriebsart: Abluft / Umluft,"Produktname: AMICA FH 664 621 S Flachschirmhaube, 60 cm.
Wichtige Punkte:
- Teleskophaube / Flachschirmhaube in Schwarz mit mechanischen Schaltern.
- Energieklasse A, Jahresverbrauch 24.8 kWh, Fluid-Dynamic-Effizienzklasse B.
- 3 Leistungsstufen, Luftleistung 170-415 m3/h, Geraeusch 49-70 dB.
- 2 LED-Leuchten, 2 spuelmaschinengeeignete Aluminium-Fettfilter.
Auswahlhinweise:
- Vor der Bestellung Einbauposition und Luftfuehrung pruefen.",Fri Jun 12 2026 14:45:23 GMT+0200 (Central European Summer Time),Mon Apr 27 2026 15:04:29 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:23 GMT+0200 (Central European Summer Time)
fragmento-default,,Fragmento Default Kitchen,ACTIVE,Seeded default kitchen based on the legacy configurator.,736267,cmoh7lg60000fsn1ornymsu6q,ACCESSORY,100,ACC-WASTE-001,,Mülltrennsystem,89.00,,,,,waste_system,,false,true,,,,,"""""",,,Mon Apr 27 2026 15:04:29 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:23 GMT+0200 (Central European Summer Time)
fragmento-default,,Fragmento Default Kitchen,ACTIVE,Seeded default kitchen based on the legacy configurator.,736267,cmoh7lg61000hsn1oy6w55vsg,ACCESSORY,110,ACC-CUTLERY-001,,Besteckeinsatz 30cm,19.00,,,,,cutlery_insert,,false,true,,,,,"""""",,,Mon Apr 27 2026 15:04:29 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:23 GMT+0200 (Central European Summer Time)
fragmento-default,,Fragmento Default Kitchen,ACTIVE,Seeded default kitchen based on the legacy configurator.,736267,cmoh7lg62000jsn1ohmfdv2ok,ACCESSORY,120,ACC-LIGHT-003,,Beleuchtungsset 3 LED-Spots,69.00,,,,,lighting_set,,false,true,,,/product-info/led-lighting-set-elabel.pdf,Energie-Label fuer das LED-Beleuchtungsset KA220043_S3. Das Label nennt Energieeffizienzklasse E und 3 kWh / 1000 h.,Product type: LED lighting set. | Model: KA220043_S3. | Energy efficiency class: E. | Energy consumption: 3 kWh / 1000 h. | Document: Energy label.,"Product name: LED lighting set KA220043_S3.
Wichtige Punkte:
- Product type: LED lighting set.
- Model: KA220043_S3.
- Energy efficiency class: E.
- Energy consumption: 3 kWh / 1000 h.
- Document: Energy label.
Auswahlhinweise:
- Show this label with the LED lighting set.",Fri Jun 12 2026 14:45:23 GMT+0200 (Central European Summer Time),Mon Apr 27 2026 15:04:29 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:23 GMT+0200 (Central European Summer Time)
fragmento-default,,Fragmento Default Kitchen,ACTIVE,Seeded default kitchen based on the legacy configurator.,736267,cmoh7lg62000lsn1o4hw38ees,SERVICE,200,SVC-MONTAGE-001,,"Lieferung, Vertragen, Montage und Anschluss",349.00,,,,,delivery_assembly,,false,true,,,,,"""""",,,Mon Apr 27 2026 15:04:29 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:23 GMT+0200 (Central European Summer Time)
fragmento-default,,Fragmento Default Kitchen,ACTIVE,Seeded default kitchen based on the legacy configurator.,736267,cmoh7lg63000nsn1o3kuq6h6g,SERVICE,210,SVC-PICKUP-001,,Abholung an Logistikstandort,0.00,,,,,pickup,,false,true,,,,,"""""",,,Mon Apr 27 2026 15:04:29 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:23 GMT+0200 (Central European Summer Time)
kitchen-model-b,260 309,Linear Kitchen,ACTIVE,Compact single-wall layout ideal for smaller spaces,123456|1234567|12345678|1238999|456321|6701111111|6704444444|670888888|736268|CDE-80331-002|DEMO-20095-001|EFG-10117-001,cmoh7lg69000qsn1oo8cl8opu,COMPONENT,10,CAB-WALL-B-L-600,H6002,Wall Cabinet left (600 x 723 x 320 mm),149.00,600,720,340,wall-cabinet-1,wall_cabinet_plain,#00ffbf,false,true,"H6002, 2 adjustable shelves",,,,"""""",,,Mon Apr 27 2026 15:04:29 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:23 GMT+0200 (Central European Summer Time)
kitchen-model-b,260 309,Linear Kitchen,ACTIVE,Compact single-wall layout ideal for smaller spaces,123456|1234567|12345678|1238999|456321|6701111111|6704444444|670888888|736268|CDE-80331-002|DEMO-20095-001|EFG-10117-001,cmoh7lg6a000ssn1oxsstzzgq,COMPONENT,20,CAB-WALL-B-ML-600,H6002,Wall Cabinet mid-left (600 x 723 x 320 mm),149.00,600,720,340,wall-cabinet-2,wall_cabinet_plain,#00ffbf,false,true,"H6002, 2 adjustable shelves",,,,"""""",,,Mon Apr 27 2026 15:04:29 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:23 GMT+0200 (Central European Summer Time)
kitchen-model-b,260 309,Linear Kitchen,ACTIVE,Compact single-wall layout ideal for smaller spaces,123456|1234567|12345678|1238999|456321|6701111111|6704444444|670888888|736268|CDE-80331-002|DEMO-20095-001|EFG-10117-001,cmoh7lg6c000wsn1oz51g07f4,COMPONENT,30,CAB-WALL-B-MR-600,H6002,Wall Cabinet mid-right (600 x 723 x 320 mm),149.00,600,720,340,wall-cabinet-3,wall_cabinet_plain,#394c00,false,true,"H6002, 2 adjustable shelves",,,,"""""",,,Mon Apr 27 2026 15:04:29 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:23 GMT+0200 (Central European Summer Time)
kitchen-model-b,260 309,Linear Kitchen,ACTIVE,Compact single-wall layout ideal for smaller spaces,123456|1234567|12345678|1238999|456321|6701111111|6704444444|670888888|736268|CDE-80331-002|DEMO-20095-001|EFG-10117-001,cmoh7lg6b000usn1o2llu89za,COMPONENT,40,CAB-HOOD-B-600,FH664621E + HD6002,Flat Screen Extractor Hood + Cabinet + Filter,349.00,600,720,340,wall-cabinet-4,wall_cabinet_plain,#394c00,false,true,"HD6002, light hood setup",/product-images/email/fh664621s-flat-hood.jpg,/product-info/fh-664-621-s-product-info.pdf,Flachschirmhaube FH 664 621 S fuer eine 60-cm-Kuechenloesung. Die aktuelle Produktinformation nennt Energieklasse A und bis zu 70 dB Betriebsgeraesch.,"Energieklasse: A | Geraeusch: max. 70 dB | Breite: 60 cm | Luftleistung: 170-415 m3/h | Betriebsart: Abluft / Umluft | Jahresverbrauch: 24.8 kWh/Jahr. | Geraetemasse H x B x T (mm): 173,0 x 599 x 303.","Produktname: AMICA FH 664 621 S Flachschirmhaube, 60 cm.
Wichtige Punkte:
- Teleskophaube / Flachschirmhaube in Schwarz mit mechanischen Schaltern.
- Energieklasse A, Jahresverbrauch 24.8 kWh, Fluid-Dynamic-Effizienzklasse B.
- 3 Leistungsstufen, Luftleistung 170-415 m3/h, Geraeusch 49-70 dB.
- 2 LED-Leuchten, 2 spuelmaschinengeeignete Aluminium-Fettfilter.
Auswahlhinweise:
- Vor der Bestellung Einbauposition und Luftfuehrung pruefen.",,Mon Apr 27 2026 15:04:29 GMT+0200 (Central European Summer Time),Fri Jun 12 2026 14:45:23 GMT+0200 (Central European Summer Time)
